schoolId,name,latitude,longitude
5489,Abbotsford Kindergarten,-45.900898,170.426535
5490,Bayfield Kindergarten,-45.896762,170.524615
5491,Brockville Kindergarten,-45.866989,170.460963
5492,Concord Kindergarten,-45.90591,170.462649
5493,Corstorphine Kindergarten,-45.905091,170.478174
5494,Grants Braes Kindergarten,-45.886165,170.532521
5495,Green Island Kindergarten,-45.904409,170.429773
5496,Halfway Bush Kindergarten,-45.854783,170.470521
5497,Helen Deem Kindergarten,-45.902919,170.487224
5498,Jonathan Rhodes Kindergarten,-45.847186,170.53486
5499,Kaikorai Kindergarten,-45.86667,170.481263
5500,Kelsey-Yaralla Kindergarten,-45.867358,170.514986
5501,Mornington Kindergarten,-45.887234,170.475736
5502,Port Chalmers Kindergarten,-45.820706,170.618203
5503,Rachel Reynolds Kindergarten,-45.898939,170.495148
5504,Richard Hudson Kindergarten,-45.898464,170.482499
5505,Roslyn Kindergarten (Dunedin),-45.871138,170.48242
5506,Rotary Park Kindergarten,-45.885072,170.545713
5507,St Kilda Kindergarten,-45.905421,170.513743
5508,Wakari Kindergarten,-45.855279,170.487338
5509,Mosgiel Central Kindergarten,-45.875302,170.347327
5510,Reid Park Kindergarten,-45.867422,170.355249
5511,Balclutha Kindergarten,-46.237537,169.743506
5512,Rosebank Kindergarten,-46.244967,169.725294
5513,Bluff Kindergarten,-46.600583,168.337173
5514,Clarendon Kindergarten,-46.444841,168.372035
5515,Elsie Street Kindergarten,-46.104614,168.937451
5516,Elston Lea Kindergarten,-46.433933,168.376936
5517,Fiordland Kindergarten,-45.412228,167.71945
5518,Glengarry Kindergarten,-46.401249,168.387482
5519,Grasmere Kindergarten,-46.383482,168.336593
5520,Kew Kindergarten,-46.429191,168.354384
5521,Lindisfarne Kindergarten,-46.406598,168.367681
5522,Newfield Kindergarten,-46.421961,168.379719
5523,Otatara Kindergarten,-46.431323,168.291052
5524,Oxford Kindergarten,-46.092323,168.957407
